"Name","Team","Pos","GP","G","A","P","+/-","PIM","PPP","SHp","Ht","GA","TA","SOG","S%","SB","ATOI","APPT","APKT","FO%"
"Mikko Rantanen","Kings","RW/LW",35,21,29,50,25,12,14,0,67,6,15,93,"23",24,"16:45","3:24","0:32","0"
"Filip Forsberg","Blue Jackets","LW/RW",35,18,28,46,9,8,18,1,122,13,37,130,"14",90,"18:56","3:34","2:49","18"
"Kaapo Kakko","Sabres","RW/LW",35,22,23,45,23,6,9,0,67,7,4,98,"22",20,"15:48","2:37","0:00","0"
"Lucas Raymond","Coyotes","LW",35,21,24,45,10,8,14,0,35,12,0,139,"15",8,"17:17","3:19","0:04","0"
"Steven Stamkos","Kings","C/LW",35,19,26,45,16,4,16,0,59,7,16,96,"20",53,"18:16","3:34","2:30","55"
"Sam Reinhart","Sabres","RW/C",35,15,30,45,17,14,14,0,50,5,18,123,"12",33,"17:03","3:25","0:47","13"
"Andrei Svechnikov","Devils","RW/LW",33,22,22,44,6,4,19,0,90,18,2,106,"21",21,"16:50","3:18","0:34","0"
"Matthew Tkachuk","Stars","LW/RW",32,21,22,43,21,20,12,1,129,8,15,84,"25",58,"19:03","3:35","2:52","21"
"Jack Eichel","Sabres","C",35,19,23,42,26,6,11,0,69,3,14,116,"16",31,"15:55","3:17","0:08","45"
"Pavel Buchnevich","Rangers","LW/RW",34,17,25,42,21,32,12,0,51,7,8,78,"22",27,"16:33","3:03","0:28","10"
"Mathew Barzal","Kings","C/RW",35,14,28,42,24,20,16,1,64,1,9,94,"15",47,"18:01","3:29","1:49","54"
"Phil Kessel","Penguins","RW",34,23,18,41,8,8,14,0,59,8,5,84,"27",36,"17:07","2:55","0:48","6"
"Jack Hughes","Canadiens","C/LW",35,17,24,41,-5,10,24,0,77,7,8,98,"17",31,"16:43","3:00","0:03","51"
"Alex DeBrincat","Maple Leafs","LW/RW",33,16,25,41,14,2,16,0,33,5,1,67,"24",12,"16:04","3:07","0:00","0"
"Clayton Keller","Coyotes","RW/LW",35,16,25,41,2,34,19,0,57,9,2,77,"21",15,"16:44","3:18","0:02","50"
"Tomas Hertl","Oilers","C/LW",33,20,20,40,8,10,16,2,95,7,8,103,"19",57,"18:48","3:23","2:09","52"
"Nikita Kucherov","Predators","RW/LW",36,24,15,39,8,6,15,0,47,8,15,98,"24",22,"16:49","3:26","0:40","4"
"Connor Bedard","Red Wings","C",34,22,17,39,4,6,11,0,31,4,2,72,"31",27,"16:10","2:55","0:14","47"
"Leon Draisaitl","Oilers","C",33,15,24,39,8,8,8,1,121,8,14,77,"19",47,"18:20","3:21","1:58","64"
"Artemi Panarin","Stars","LW/RW",32,14,25,39,15,4,10,0,40,8,6,79,"18",26,"17:05","3:21","0:55","0"
"Nathan MacKinnon","Avalanche","C/RW",33,11,28,39,15,12,13,0,58,4,18,62,"18",41,"18:05","3:03","1:34","55"
"Patrick Kane","Blackhawks","RW",35,22,16,38,7,10,18,0,55,6,6,77,"29",66,"18:16","2:45","2:33","20"
"Patrik Laine","Rangers","RW/LW",34,21,17,38,23,18,10,0,83,10,19,105,"20",47,"18:19","3:10","2:17","0"
"Gabe Vilardi","Blue Jackets","C/RW",35,20,18,38,10,4,17,0,46,3,3,91,"22",16,"15:38","3:15","0:08","29"
"Valeri Nichushkin","Kings","RW/LW",35,12,26,38,7,20,17,0,80,7,7,118,"10",17,"15:59","3:46","0:00","0"
"Jesse Puljujarvi","Coyotes","RW",35,10,28,38,11,16,14,0,79,12,8,108,"9",21,"15:39","2:15","0:18","0"
"Vladimir Tarasenko","Canadiens","RW",35,20,17,37,5,10,17,0,93,11,14,99,"20",34,"16:57","3:04","0:46","0"
"Matt Duchene","Canadiens","C",33,16,21,37,7,17,10,0,53,9,6,72,"22",35,"17:37","3:10","1:32","47"
"Mark Scheifele","Hurricanes","C",33,12,25,37,9,8,13,0,55,15,17,75,"16",90,"18:44","3:30","2:27","51"
"Sebastian Aho","Blue Jackets","C",35,11,26,37,4,10,20,0,65,4,19,93,"12",46,"17:56","3:19","1:54","54"
"Judes Pawelek","Sharks","RW",34,17,19,36,20,25,14,0,72,8,4,129,"13",9,"16:04","3:21","0:01","0"
"Trevor Zegras","Penguins","LW",34,16,20,36,13,8,13,0,53,7,5,73,"22",9,"17:23","2:58","0:07","0"
"Sidney Crosby","Devils","C",33,9,27,36,3,30,16,0,63,6,19,107,"8",62,"17:26","3:21","1:43","53"
"Kirill Marchenko","Jets","RW",32,18,17,35,-6,8,16,0,44,3,0,103,"17",7,"15:55","3:02","0:00","0"
"Antonin Divis","Jets","RW",32,16,19,35,-4,24,16,0,88,8,5,87,"18",9,"16:38","3:04","0:13","0"
"Dalibor Dvorsky","Sharks","C/RW/LW",34,15,20,35,15,6,16,0,46,7,7,100,"15",51,"17:49","3:29","2:05","52"
"Jason Robertson","Oilers","LW",33,14,21,35,10,4,13,1,78,7,7,72,"19",39,"18:15","3:21","1:43","0"
"Evgeny Kuznetsov","Coyotes","C",35,14,21,35,17,6,13,0,45,3,6,83,"17",24,"16:05","3:17","0:01","57"
"Andre Burakovsky","Blackhawks","LW/RW",35,14,21,35,7,14,13,0,66,7,3,90,"16",25,"16:25","2:43","0:32","20"
"Adam Fantilli","Penguins","C",34,13,22,35,13,14,12,0,49,8,6,74,"18",40,"16:43","2:56","0:19","47"
"David Pastrnak","Bruins","RW/LW",33,12,23,35,12,22,10,1,78,8,8,96,"13",10,"16:35","3:35","0:33","0"
"Rasmus Ristolainen","Sabres","RD/LD",35,6,29,35,27,14,14,0,92,12,27,123,"5",49,"25:15","3:20","0:56","0"
"Kirill Kaprizov","Blue Jackets","LW/RW",35,19,15,34,12,10,15,0,71,7,15,88,"22",21,"16:58","3:14","0:56","0"
"Jesper Bratt","Devils","LW/RW",33,18,16,34,7,6,13,0,39,7,2,75,"24",22,"16:07","3:17","0:00","0"
"Cutter Gauthier","Ducks","LW/C",35,17,17,34,0,26,16,0,68,9,0,88,"19",27,"17:31","3:38","0:54","11"
"Mike Hoffman","Stars","LW",32,16,18,34,17,18,7,0,52,6,8,57,"28",9,"13:46","1:39","0:00","0"
"Sergei Kucherov","Stars","C",32,16,18,34,12,18,13,0,73,7,11,120,"13",46,"18:59","3:23","2:59","54"
"Milos Bezdek","Flames","LW/C",32,18,15,33,-4,6,10,1,71,12,6,98,"18",32,"16:54","2:23","1:04","0"
"Matthew Boldy","Avalanche","LW/RW",33,18,15,33,6,12,13,0,89,23,23,130,"14",19,"17:05","3:15","0:31","22"
"Andrey Kovalenko","Lightning","RW/LW",35,17,16,33,4,4,16,0,63,13,1,74,"23",14,"15:14","3:44","0:00","0"
"Travis Konecny","Flyers","RW/C",34,17,16,33,11,10,14,0,98,7,8,94,"18",42,"18:38","3:08","2:15","3"
"Tage Thompson","Hurricanes","C/RW",33,16,17,33,15,8,10,0,96,2,0,87,"18",13,"15:26","2:33","0:00","100"
"Francois Robert","Canadiens","LW/RW",35,16,17,33,-2,12,16,0,85,16,1,112,"14",8,"15:46","2:58","0:01","0"
"Filip Chytil","Red Wings","C/LW",34,14,19,33,6,11,11,0,79,10,0,92,"15",19,"17:03","2:54","0:24","28"
"Pavel Zacha","Wild","C/LW",35,10,23,33,-8,68,17,0,102,2,8,64,"16",38,"15:51","2:52","0:02","55"
"Jake Sanderson","Blue Jackets","LD",35,6,27,33,16,16,16,0,81,29,34,136,"4",66,"26:22","3:26","2:09","0"
"Thomas Chabot","Kings","LD",35,6,27,33,17,22,17,0,87,13,31,142,"4",56,"24:02","3:45","0:25","0"
"Kimmy Moren","Sharks","C",34,19,13,32,0,10,17,0,50,4,6,104,"18",20,"15:40","3:24","0:00","42"
"Riley Tufte","Islanders","LW",34,16,16,32,7,4,11,1,81,0,0,81,"20",17,"16:37","3:03","0:03","0"
"Dylan Larkin","Devils","C",33,12,20,32,10,8,16,1,74,10,26,67,"18",47,"18:41","3:21","2:34","54"
"Jaden Schwartz","Stars","LW",32,12,20,32,13,20,11,0,47,5,13,114,"11",49,"17:00","3:35","1:32","17"
"Fabian Zetterlund","Blackhawks","RW/C",35,12,20,32,5,27,13,0,58,9,2,99,"12",10,"15:30","3:03","0:02","0"
"Alexander Holtz","Ducks","RW",35,10,22,32,6,6,8,0,73,3,4,65,"15",9,"14:48","1:41","0:07","0"
"J.T. Miller","Hurricanes","C/LW",33,10,22,32,11,14,10,0,81,6,15,55,"18",48,"17:41","1:32","1:53","53"
"Tyler Seguin","Senators","C/RW",33,17,14,31,-2,12,12,0,66,6,8,82,"21",50,"17:47","3:05","2:16","55"
"Marian Masek","Maple Leafs","RW/LW",33,15,16,31,10,30,2,0,89,11,1,92,"16",18,"15:36","1:34","0:20","0"
"Jack Quinn","Lightning","RW",35,14,17,31,-4,12,9,0,72,5,1,98,"14",25,"16:00","2:51","0:12","67"
"Mitch Marner","Kings","RW/C",35,13,18,31,14,6,6,0,61,7,10,81,"16",25,"15:30","1:43","0:25","0"
"Brady Tkachuk","Blue Jackets","LW/C",35,13,18,31,5,30,3,1,105,7,2,76,"17",36,"16:30","1:37","1:44","0"
"Owen Tippett","Hurricanes","RW",33,9,22,31,10,20,8,0,50,6,1,73,"12",46,"17:57","2:26","2:07","0"
"Erik Brannstrom","Blackhawks","LD/RD",35,6,25,31,17,6,9,0,79,12,8,167,"4",47,"25:47","2:57","0:44","0"
"Porter Martone","Red Wings","RW",34,6,25,31,5,20,2,0,31,9,3,54,"11",21,"14:20","1:28","0:07","33"
"Cale Makar","Stars","RD",32,4,27,31,18,6,10,1,95,22,32,118,"3",86,"26:58","3:32","2:58","0"
"Adam Fox","Devils","RD",33,4,27,31,8,16,12,0,95,17,47,114,"4",66,"26:34","3:25","1:42","0"
"Quinn Hughes","Red Wings","LD",34,2,29,31,16,18,12,0,91,25,28,127,"2",98,"27:04","3:07","2:56","0"
"Timmy Moren","Coyotes","LW",35,16,14,30,4,4,7,0,55,2,3,62,"26",3,"14:06","1:42","0:00","0"
"Tyler Bertuzzi","Bruins","LW/RW",33,16,14,30,15,14,6,1,61,5,7,78,"21",34,"16:59","2:25","1:26","0"
"Nikolai Kovalenko","Wild","RW/LW",35,16,14,30,-2,18,14,0,57,8,2,107,"15",17,"15:48","3:03","0:00","0"
"Pierre-Luc Dubois","Red Wings","C",34,16,14,30,6,22,10,1,71,9,3,72,"22",63,"18:38","3:00","3:09","53"
"Jonathan Drouin","Stars","LW/RW",32,13,17,30,5,16,8,0,76,6,6,50,"26",28,"14:52","1:46","0:22","18"
"William Smith","Ducks","C",35,12,18,30,-6,26,13,1,61,4,5,87,"14",52,"18:33","3:41","1:46","57"
"Nicklas Backstrom","Flames","C",32,11,19,30,-1,14,11,0,67,5,8,42,"26",63,"18:45","2:25","2:41","57"
"Mika Zibanejad","Rangers","C",34,10,20,30,20,22,9,0,77,5,10,50,"20",44,"17:17","3:05","1:47","52"
"Mason Lynch","Jets","LW/RW",32,5,25,30,-3,12,18,0,65,8,2,89,"6",13,"16:12","3:13","0:03","0"
"Vasili Podkolzin","Lightning","LW/RW",35,17,12,29,8,10,8,0,77,7,6,85,"20",19,"14:06","1:53","0:00","0"
"Alexis Lafreniere","Flyers","LW/RW",34,16,13,29,3,14,12,0,58,4,8,76,"21",44,"17:37","3:03","0:57","0"
"Auston Matthews","Maple Leafs","C",31,16,13,29,10,31,14,0,90,3,17,73,"22",50,"17:42","3:03","2:31","57"
"Brandon Saad","Bruins","LW/RW",33,15,14,29,17,6,6,0,92,7,8,104,"14",32,"17:27","2:58","1:19","0"
"Yury Tsulygin","Senators","LW",33,15,14,29,3,20,5,0,99,8,2,81,"19",17,"14:44","1:39","0:12","0"
"Tom Wilson","Red Wings","RW",34,12,17,29,12,40,1,2,126,10,16,69,"17",79,"17:33","1:05","2:48","11"
"Connor McDavid","Oilers","C",33,11,18,29,14,4,10,0,58,9,20,131,"8",50,"18:35","3:43","1:54","45"
"Girolamo Bond","Lightning","RW",35,11,18,29,-13,6,11,0,82,7,18,117,"9",29,"16:46","2:56","1:03","0"
"Alexander Nylander","Sabres","RW/LW",35,11,18,29,5,12,9,0,55,11,0,76,"14",10,"16:00","3:18","0:00","0"
"Anthony Duclair","Ducks","LW/RW",35,11,18,29,4,20,3,0,61,4,5,61,"18",16,"14:08","1:23","0:00","0"
"Kirby Dach","Lightning","C",35,7,22,29,-7,24,7,0,66,10,10,59,"12",47,"17:03","1:54","1:13","51"
"Lane Hutson","Rangers","LD",34,4,25,29,16,6,12,0,55,23,26,181,"2",28,"25:37","3:14","0:55","0"
"Nicolas Schmitt","Panthers","C",35,14,14,28,-3,6,12,0,94,6,4,83,"17",22,"15:33","2:48","0:14","59"
"Andreas Athanasiou","Flames","C/LW/RW",32,14,14,28,-1,10,5,1,54,13,12,78,"18",54,"16:56","1:19","2:01","17"
"Richard Pyykko","Predators","RW",36,14,14,28,1,12,7,0,66,20,4,92,"15",10,"16:27","3:30","0:06","0"
"William Nylander","Maple Leafs","RW/C",33,11,17,28,0,20,11,0,65,6,8,83,"13",33,"17:02","3:00","1:10","15"
"Sam Bennett","Islanders","C/LW",34,9,19,28,4,10,14,1,77,6,17,67,"13",27,"17:28","3:04","0:26","53"
"Jake Guentzel","Hurricanes","LW/RW",33,7,21,28,-1,8,8,0,43,4,6,52,"13",14,"14:38","2:34","0:00","0"
"Boone Jenner","Blue Jackets","C/LW",35,7,21,28,3,32,4,2,93,10,9,72,"10",68,"16:54","1:23","2:17","45"
"Morgan Rielly","Maple Leafs","LD/RD",33,3,25,28,12,10,16,0,93,15,41,141,"2",71,"26:16","3:17","2:21","0"
"Ville Koivunen","Penguins","RW",34,16,11,27,-4,14,6,0,43,6,2,86,"19",9,"14:15","1:27","0:00","0"
"Emeric Belanger","Ducks","C/RW",35,15,12,27,12,27,5,0,38,7,5,80,"19",18,"14:31","1:53","0:04","37"
"Evander Kane","Red Wings","LW",34,14,13,27,10,38,2,0,106,12,10,63,"22",39,"16:01","1:26","1:43","0"
"Jason Zucker","Canucks","LW/RW",33,13,14,27,1,16,8,0,43,10,8,62,"21",8,"13:39","1:33","0:00","0"
"Kevin Fiala","Devils","LW/RW",33,12,15,27,2,12,7,0,58,6,10,71,"17",12,"14:21","1:33","0:00","0"
"Jefferson Rothstein","Wild","RW/LW",35,12,15,27,-3,14,7,0,76,16,6,78,"15",31,"15:13","1:29","0:29","0"
"Matty Beniers","Jets","C",32,11,16,27,-9,6,14,0,62,8,12,76,"14",40,"17:57","3:01","2:11","55"
"Jeff Skinner","Lightning","LW/RW",35,11,16,27,-2,8,8,0,61,7,17,97,"11",10,"15:39","2:54","0:04","0"
"Kyle Connor","Lightning","LW",35,11,16,27,-19,20,12,0,57,7,10,129,"9",43,"17:30","4:02","1:12","29"
"Nico Hischier","Coyotes","C",35,10,17,27,3,8,7,0,72,7,3,90,"11",51,"18:31","2:36","2:22","54"
"Aliaksei Protas","Senators","C",33,9,18,27,2,12,2,0,96,8,1,47,"19",15,"13:34","0:16","0:27","40"
"Daniel Sprong","Penguins","RW",34,8,19,27,-1,8,5,0,29,9,5,60,"13",9,"15:33","1:29","0:01","0"
"Rickard Rakell","Wild","RW/LW",35,7,20,27,-6,8,15,0,67,12,14,98,"7",26,"16:31","3:16","0:24","22"
"Shea Theodore","Ducks","LD/RD",35,3,24,27,13,14,8,0,55,17,35,107,"3",69,"26:46","3:56","2:13","0"
"Lubomir Rapac","Canucks","RW",33,19,7,26,5,8,5,0,101,10,15,117,"16",15,"16:27","3:11","0:06","0"
"Cole Caufield","Devils","RW",33,14,12,26,8,6,8,0,48,10,7,85,"16",13,"15:09","1:38","0:08","0"
"Ryan Nugent-Hopkins","Kings","C",35,12,14,26,10,4,5,0,41,4,12,76,"16",19,"15:03","1:48","0:01","47"
"Adam Grman","Hurricanes","LD/RD",31,12,14,26,0,8,10,0,58,27,7,135,"9",67,"27:14","3:30","2:38","0"
"Macklin Celebrini","Stars","C",32,10,16,26,7,28,8,0,29,5,1,56,"18",15,"14:57","1:46","0:02","53"
"Sven Andrighetto","Bruins","RW/LW",33,8,18,26,4,12,7,0,47,10,6,64,"13",17,"16:28","2:52","0:00","0"
"Rasmus Dahlin","Hurricanes","LD/RD",33,6,20,26,5,18,11,0,107,16,17,113,"5",86,"27:21","3:30","2:23","0"
"Niko-Petteri Rosendahl","Flyers","C/LW",34,5,21,26,0,10,13,0,85,8,2,85,"6",7,"15:20","3:21","0:04","25"
"Brock Faber","Canadiens","RD",35,3,23,26,0,12,16,0,76,35,29,88,"3",70,"25:49","3:06","2:04","0"
"Erik Karlsson","Senators","RD",33,2,24,26,11,14,7,0,69,19,33,100,"2",73,"27:07","3:19","1:50","0"
"Tim Stutzle","Canucks","C/LW",33,13,12,25,-1,12,9,0,54,4,6,59,"22",47,"16:32","1:35","1:46","27"
"John Tavares","Capitals","C",34,13,12,25,-13,18,10,0,66,7,21,73,"18",61,"18:33","3:00","2:45","57"
"Dylan Cozens","Blue Jackets","C",35,12,13,25,11,18,5,0,40,6,6,82,"15",36,"15:10","1:45","0:00","54"
"Joonas Donskoi","Islanders","RW/LW",34,11,14,25,4,4,10,0,30,5,13,70,"16",16,"16:31","3:03","0:01","0"
"Max Domi","Sharks","C",34,11,14,25,19,8,0,2,68,7,6,52,"21",85,"14:56","0:00","2:49","58"
"Chris Kreider","Coyotes","LW",34,10,15,25,10,27,6,0,114,11,9,65,"15",31,"16:08","1:44","1:35","25"
"Aleksander Barkov","Ducks","C",34,8,17,25,3,6,13,0,88,10,30,60,"13",71,"18:40","3:35","2:26","55"
"Logan Couture","Blackhawks","C/LW",35,8,17,25,4,12,5,0,49,6,8,58,"14",51,"15:18","1:26","1:51","48"
"P.K. Subban","Lightning","RD/LD",35,7,18,25,-13,35,11,0,122,6,13,116,"6",64,"25:44","2:43","1:36","0"
"Wyatt Johnston","Flyers","C",34,6,19,25,3,12,8,0,66,4,3,79,"8",19,"14:46","1:33","0:03","54"
"Lias Andersson","Canadiens","C/LW",35,6,19,25,8,15,0,0,63,8,6,43,"14",8,"12:41","0:00","0:00","0"
"Oliver Ekman-Larsson","Kings","LD/RD",35,5,20,25,16,6,2,1,90,27,33,112,"4",72,"25:47","1:35","1:58","0"
"Johnny Gaudreau","Canucks","LW",33,5,20,25,5,10,9,0,33,10,8,97,"5",20,"17:22","3:31","0:50","0"
"Timo Meier","Sharks","RW/LW",31,5,20,25,-16,33,14,1,73,9,4,83,"6",17,"16:49","3:46","0:31","25"
"Brennan Othmann","Capitals","LW",34,15,9,24,1,12,2,0,101,12,3,50,"30",18,"16:22","1:43","0:46","0"
"Nikolaj Ehlers","Hurricanes","LW/RW",33,13,11,24,12,4,0,0,31,7,2,49,"27",22,"13:25","0:00","0:12","0"
"Brayden Point","Bruins","C",33,13,11,24,5,10,7,0,34,6,13,87,"15",37,"17:29","3:37","1:07","54"
"Josh Doan","Canucks","RW",33,13,11,24,11,12,0,0,58,6,0,62,"21",8,"12:51","0:06","0:00","0"
"Matvei Michkov","Wild","RW/LW",35,12,12,24,-11,4,12,0,54,13,1,91,"13",10,"15:46","2:59","0:00","0"
"Jonathan Huberdeau","Avalanche","LW/C",33,11,13,24,0,8,9,0,47,6,12,71,"15",22,"14:57","2:59","0:00","0"
"Robert Thomas","Maple Leafs","C",33,11,13,24,4,10,6,0,40,2,3,59,"19",48,"17:49","1:41","1:47","49"
"Anders Lee","Hurricanes","LW/C",33,11,13,24,8,16,6,0,102,7,2,64,"17",14,"15:54","2:28","0:18","0"
"Taylor Hall","Devils","LW/C",33,9,15,24,11,8,3,0,69,3,18,78,"12",42,"16:32","1:25","1:42","30"
"Grigori Denisenko","Hurricanes","LW/RW",33,8,16,24,-1,32,9,0,58,8,0,55,"15",6,"13:20","1:10","0:00","0"
"Sean Monahan","Canucks","C",33,7,17,24,2,8,7,1,50,9,17,68,"10",37,"18:20","3:06","2:24","53"
"Alex Newhook","Avalanche","LW",33,7,17,24,9,10,2,0,60,19,9,48,"15",39,"17:17","1:20","2:12","0"
"Jonathan Toews","Coyotes","C",35,7,17,24,0,16,6,0,74,8,32,68,"10",70,"17:30","1:52","2:25","58"
"Roman Josi","Predators","LD/RD",36,5,19,24,5,4,11,0,74,16,33,145,"3",86,"26:11","3:41","1:44","0"
"Tom Willander","Ducks","RD",35,4,20,24,2,2,13,0,41,13,12,91,"4",34,"17:10","3:47","0:15","0"
"K'Andre Miller","Kings","LD",35,3,21,24,12,4,4,1,76,24,39,95,"3",64,"21:34","1:32","2:42","0"
"Jordan Eberle","Sharks","RW",34,3,21,24,-21,10,13,0,41,7,3,88,"3",28,"16:10","3:37","0:06","0"
"Juraj Slafkovsky","Canadiens","LW",35,13,10,23,2,8,4,0,109,10,2,83,"16",23,"14:49","1:33","0:10","100"
"Drake Batherson","Oilers","RW/C",33,12,11,23,10,6,1,0,58,6,1,63,"19",12,"15:12","1:37","0:06","25"
"Oliver Wahlstrom","Flyers","RW",34,11,12,23,-4,20,7,0,75,8,0,68,"16",16,"14:37","1:34","0:00","0"
"Pontus Aberg","Panthers","LW/RW",35,10,13,23,-2,26,7,0,61,9,2,68,"15",23,"14:59","1:49","0:00","0"
"Marco Rossi","Jets","C/LW",32,9,14,23,9,12,3,0,42,4,1,28,"32",19,"14:08","1:24","0:00","48"
"Ryan Strome","Flyers","C/RW",34,8,15,23,0,14,8,0,46,3,4,63,"13",12,"14:28","1:14","0:16","29"
"Kristian Larouche","Lightning","C",35,8,15,23,-15,14,14,0,97,4,3,77,"10",25,"16:45","3:49","0:51","51"
"Cristobal Vinatier","Oilers","RW",33,7,16,23,6,4,1,0,63,9,0,79,"9",9,"15:46","1:47","0:10","0"
"Jordan Kyrou","Blues","RW/C",32,7,16,23,-5,14,9,0,43,7,1,64,"11",28,"15:21","2:31","0:00","0"
"Nick Suzuki","Flyers","C",32,6,17,23,9,32,11,0,57,5,7,61,"10",59,"17:40","3:01","2:06","54"
"Sven Bartschi","Blackhawks","LW",35,5,18,23,9,20,6,0,51,5,4,59,"8",17,"12:37","1:10","0:00","0"
"Sami Vatanen","Jets","RD",32,3,20,23,1,8,10,0,53,13,27,87,"3",73,"27:21","3:13","2:11","0"
"Zach Werenski","Bruins","LD",33,3,20,23,18,10,6,0,99,14,42,136,"2",62,"26:08","3:14","0:42","0"
"Kris Letang","Red Wings","RD/LD",34,3,20,23,8,30,9,0,80,15,15,99,"3",59,"25:20","3:00","1:07","0"
"Dougie Hamilton","Flames","RD",32,2,21,23,0,4,12,1,84,17,29,98,"2",98,"26:53","2:39","2:54","0"
"Alexander Nikishin","Stars","LD/RD",32,2,21,23,19,10,6,0,74,28,33,86,"2",42,"19:40","1:33","0:30","0"
"Noah Dobson","Maple Leafs","RD",33,2,21,23,15,14,12,0,86,13,33,94,"2",73,"25:48","3:05","2:23","0"
"Lucas Wagner","Canadiens","LD/RD",35,1,22,23,9,14,7,0,77,19,12,76,"1",52,"24:21","1:29","0:27","0"
"Elias Pettersson","Blues","C/LW",32,14,8,22,-16,10,8,0,78,7,15,59,"24",22,"15:53","2:26","0:00","50"
"Brandon Hagel","Sabres","LW",35,14,8,22,1,14,4,0,79,9,4,97,"14",15,"15:44","2:15","0:00","0"
"Evgeni Malkin","Stars","C",32,10,12,22,6,24,2,0,25,3,8,45,"22",38,"15:13","1:25","1:51","50"
"Robby Fabbri","Blackhawks","LW/C",35,9,13,22,-10,10,8,0,71,12,9,58,"16",56,"16:56","1:32","1:54","20"
