"Name","Team","Pos","GP","G","A","P","+/-","PIM","PPP","SHp","Ht","GA","TA","SOG","S%","SB","ATOI","APPT","APKT","FO%"
"Ryan Johansen","Blackhawks","C",35,9,13,22,-5,20,8,0,69,5,8,74,"12",36,"15:26","1:32","0:08","48"
"Brock Boeser","Flames","RW",32,8,14,22,0,4,6,0,78,11,1,69,"12",33,"16:30","2:24","1:00","11"
"Viktor Arvidsson","Blue Jackets","RW/LW",35,7,15,22,8,14,3,0,43,6,5,58,"12",21,"14:08","1:36","0:00","0"
"MacKenzie Weegar","Predators","RD",36,2,20,22,16,14,6,0,109,17,27,81,"2",64,"24:45","2:22","1:30","0"
"Drew Doughty","Bruins","RD/LD",33,0,22,22,14,8,2,0,74,14,40,88,"0",81,"25:33","1:10","1:32","0"
"Philip Tomasino","Blue Jackets","RW",35,13,8,21,-1,12,0,0,54,8,1,55,"24",10,"12:55","0:05","0:00","0"
"Kyle Okposo","Ducks","RW",35,12,9,21,9,14,0,0,65,5,6,34,"35",12,"11:25","0:00","0:00","0"
"Matt Coronato","Jets","RW",30,10,11,21,7,19,4,0,29,4,2,58,"17",10,"13:04","1:01","0:00","0"
"Tomas Tatar","Senators","LW/RW",33,8,13,21,-3,6,5,0,38,3,4,82,"10",13,"15:20","2:52","0:01","0"
"Martin Necas","Penguins","C/RW",34,8,13,21,-3,8,5,0,34,3,6,45,"18",23,"14:50","1:29","0:00","51"
"Tanner Pearson","Panthers","LW",35,8,13,21,-7,8,7,0,88,13,10,73,"11",38,"16:51","2:51","0:54","0"
"Carter Verhaeghe","Sharks","LW",34,8,13,21,0,10,4,0,74,5,7,72,"11",16,"14:59","1:35","0:00","0"
"Mason Marchment","Panthers","LW",35,6,15,21,-6,6,8,0,61,12,1,74,"8",14,"15:25","2:46","0:11","0"
"Teuvo Teravainen","Flames","LW/RW",32,5,16,21,3,12,10,0,45,9,17,81,"6",24,"15:45","2:35","0:08","20"
"Gabriel Perreault","Panthers","RW/LW",35,5,16,21,-2,18,6,0,47,8,1,50,"10",16,"14:54","2:05","0:01","0"
"Kieffer Bellows","Islanders","C/LW",34,13,7,20,-7,2,4,0,72,3,0,76,"17",13,"15:56","1:38","0:00","47"
"Tyler Toffoli","Coyotes","RW",34,12,8,20,5,12,0,0,52,3,18,39,"31",16,"13:31","0:06","0:37","0"
"Brayden Yager","Flames","C",32,12,8,20,1,12,5,0,52,4,0,48,"25",19,"14:56","1:16","0:00","57"
"Jiri Kulich","Ducks","C",35,10,10,20,-6,6,8,0,48,5,4,70,"14",15,"14:49","1:58","0:00","56"
"Berkly Catton","Flyers","C",34,10,10,20,-6,6,7,0,34,9,0,64,"16",13,"14:00","1:37","0:00","0"
"Zebastian Thornberg","Canadiens","LW/RW",33,9,11,20,9,2,0,0,96,10,1,45,"20",22,"12:57","0:00","0:09","0"
"Logan Cooley","Stars","C",32,9,11,20,14,8,0,0,30,4,3,49,"18",14,"12:11","0:00","0:00","44"
"Tero Kantanen","Canucks","LW/RW",33,8,12,20,0,8,6,0,83,17,2,55,"15",14,"15:55","3:02","0:04","0"
"Nikita A. Popugayev","Islanders","LW",34,7,13,20,-7,6,3,0,63,10,0,77,"9",10,"15:44","1:35","0:00","0"
"Sean Couturier","Canucks","C",33,7,13,20,1,12,7,0,80,7,25,86,"8",45,"17:02","1:41","1:44","58"
"Benoit-Olivier Groulx","Islanders","C/LW",34,7,13,20,-13,13,1,0,74,6,5,53,"13",24,"15:40","1:10","1:03","41"
"Dylan Strome","Blues","C",32,7,13,20,-10,18,8,0,61,3,10,58,"12",32,"15:09","2:25","0:00","50"
"Karolis Manomaitis","Ducks","C/LW/RW",35,6,14,20,3,26,0,0,105,16,36,57,"11",58,"13:54","0:00","2:27","33"
"Marc-Edouard Vlasic","Sharks","LD",34,4,16,20,13,6,1,1,86,25,32,64,"6",91,"25:16","0:23","2:42","0"
"Aaron Ekblad","Oilers","RD/LD",33,4,16,20,6,6,8,1,87,16,22,116,"3",65,"26:10","3:14","1:48","0"
"Josef Hudec","Sharks","C/RW",34,4,16,20,1,6,3,0,71,3,1,42,"10",7,"13:22","1:33","0:00","52"
"Justin Faulk","Capitals","RD/LD",34,1,19,20,-8,14,10,0,140,10,35,125,"1",57,"27:01","3:12","2:40","0"
"Hiroto Osawa","Bruins","LW/RW",33,11,8,19,-3,0,4,0,88,8,4,92,"12",11,"16:09","2:45","0:00","0"
"Jamie Benn","Rangers","LW/C",34,11,8,19,-11,14,5,0,88,11,11,67,"16",82,"17:52","2:18","2:25","0"
"Tyler Johnson","Bruins","C",33,10,9,19,10,8,4,0,41,2,10,73,"14",14,"16:10","1:55","0:00","49"
"Jean-Philipp James","Bruins","RW/C",33,9,10,19,11,0,1,0,69,9,4,76,"12",9,"13:50","0:38","0:00","0"
"Davis Dougherty","Capitals","RW/LW",34,9,10,19,-12,18,12,0,105,12,1,69,"13",10,"15:52","3:03","0:01","0"
"Joshua Norris","Capitals","C",34,9,10,19,-6,24,4,0,58,8,7,56,"16",13,"15:07","1:39","0:05","35"
"Alexander Ovechkin","Capitals","LW/RW",34,9,10,19,-10,29,9,0,97,7,9,63,"14",27,"14:54","2:58","0:08","0"
"Joel Eriksson Ek","Devils","C",33,8,11,19,2,12,4,1,71,6,16,70,"11",68,"16:53","1:31","2:10","56"
"Jared McCann","Canucks","C/LW",33,7,12,19,1,24,6,0,55,3,4,58,"12",30,"14:24","1:18","0:00","43"
"Nick Schmaltz","Wild","C/RW",35,6,13,19,-6,16,6,0,22,2,5,49,"12",14,"14:32","1:38","0:00","27"
"Julien Gauthier","Capitals","RW",34,6,13,19,4,20,0,0,78,7,3,62,"10",12,"13:00","0:00","0:00","0"
"Victor Soderstrom","Penguins","RD",34,0,19,19,3,8,9,0,35,17,35,68,"0",83,"20:54","3:03","1:51","0"
"Peter Boisvert","Penguins","LD",34,0,19,19,11,14,7,0,27,19,21,97,"0",56,"19:24","3:03","1:45","0"
"Bernhard Rossi","Blues","RW/LW",32,13,5,18,-6,10,7,0,80,15,1,95,"14",22,"15:37","1:05","0:47","50"
"Jonathan Lekkerimaki","Predators","RW",36,11,7,18,-2,10,6,0,96,9,0,85,"13",12,"15:20","1:47","0:01","0"
"Connor McMichael","Sharks","C/LW",34,10,8,18,-9,44,4,0,71,7,6,81,"12",22,"14:33","1:36","0:00","38"
"Pavel Dorofeyev","Flames","LW/RW",32,9,9,18,3,10,0,0,42,9,2,40,"23",6,"12:31","0:00","0:00","0"
"Claude Giroux","Rangers","C/RW",34,8,10,18,-3,22,2,0,46,2,7,42,"19",38,"13:40","0:54","0:00","59"
"Bo Horvat","Hurricanes","C",33,7,11,18,0,10,0,0,67,5,6,50,"14",65,"15:09","0:02","2:47","50"
"Roope Hintz","Maple Leafs","C/LW",31,6,12,18,-2,19,3,0,66,5,3,39,"15",15,"14:38","1:29","0:02","44"
"Ivan Provorov","Flyers","LD",34,5,13,18,-8,10,11,0,66,16,41,127,"4",77,"26:17","3:12","0:39","0"
"Cyril Hejda","Coyotes","RD",35,3,15,18,5,24,0,0,85,13,20,110,"3",51,"24:32","1:08","0:42","0"
"Josh Morrissey","Oilers","LD/RD",33,2,16,18,9,8,0,1,38,9,32,81,"2",55,"20:57","1:38","2:09","0"
"Miro Heiskanen","Sabres","LD/RD",35,2,16,18,35,20,4,0,81,18,50,104,"2",61,"24:13","1:41","0:13","0"
"Damon Severson","Devils","RD",33,1,17,18,9,14,4,0,81,15,30,82,"1",61,"24:53","1:33","0:40","0"
"Rutger McGroarty","Devils","RW/LW",33,12,5,17,4,22,0,0,49,9,0,51,"24",8,"11:47","0:00","0:00","0"
"Dmitry Voronkov","Rangers","LW",34,9,8,17,-1,4,2,0,91,7,0,70,"13",17,"14:22","1:40","0:00","0"
"Miikka Heinonen","Jets","LW/RW",32,9,8,17,8,6,0,0,52,6,5,58,"16",8,"12:32","0:00","0:00","0"
"Cole Sillinger","Maple Leafs","C",33,8,9,17,-2,2,1,0,53,4,0,56,"14",26,"13:00","0:06","0:00","45"
"Zach Hyman","Jets","RW/LW",32,7,10,17,1,11,5,0,76,5,20,57,"12",68,"17:45","1:18","2:25","100"
"Alex Galchenyuk","Canadiens","C/LW",35,7,10,17,1,16,5,0,62,6,12,45,"16",15,"14:40","1:31","0:00","50"
"Barrett Hayton","Sabres","C",35,6,11,17,-11,14,3,0,57,7,3,47,"13",35,"15:03","1:05","1:00","58"
"Anthony Cirelli","Blackhawks","C",35,6,11,17,3,16,8,0,47,6,16,73,"8",51,"18:05","2:48","2:20","52"
"Luke Hughes","Senators","LD",33,4,13,17,3,10,6,0,98,19,11,93,"4",40,"21:27","1:34","0:25","0"
"Anze Kopitar","Predators","C",36,4,13,17,-2,14,5,0,76,9,23,69,"6",52,"17:06","2:26","1:31","59"
"Ilya Trushkov","Wild","LD",33,4,13,17,-14,21,13,0,69,19,36,89,"4",82,"25:04","3:10","0:23","0"
"Victor Rask","Bruins","C",33,3,14,17,11,6,1,0,45,6,8,35,"9",52,"14:45","0:19","1:43","51"
"Moritz Seider","Avalanche","RD",33,3,14,17,2,12,6,0,100,26,20,96,"3",84,"27:05","3:10","2:12","0"
"Evan Bouchard","Canucks","RD",33,2,15,17,3,4,7,0,62,22,21,114,"2",76,"20:22","3:16","2:10","0"
"Devon Toews","Coyotes","LD",35,2,15,17,3,6,5,0,40,11,25,85,"2",52,"19:16","1:31","2:21","0"
"Torey Krug","Bruins","LD/RD",33,0,17,17,11,6,4,0,35,10,12,89,"0",37,"18:27","2:10","0:07","0"
"Alex Pietrangelo","Blue Jackets","RD",35,0,17,17,11,8,3,0,68,26,59,91,"0",105,"25:42","1:28","2:41","0"
"Kristian Benuska","Kings","RW/LW/C",35,11,5,16,-2,6,0,0,58,16,5,48,"23",18,"12:06","0:00","0:00","0"
"Craig Smith","Blackhawks","RW",35,11,5,16,-10,8,2,0,51,11,2,86,"13",19,"14:14","1:15","0:00","0"
"Brock Nelson","Panthers","C/LW",35,11,5,16,-4,26,4,0,50,2,9,73,"15",72,"16:08","1:03","1:48","54"
"Conor Garland","Avalanche","RW",33,10,6,16,-10,6,2,0,24,4,1,49,"20",22,"14:06","1:32","0:00","0"
"Peter Kysela","Senators","RW/LW",33,9,7,16,-9,6,5,0,49,10,2,75,"12",11,"15:18","2:50","0:00","0"
"Hudson Fasching","Sabres","RW/C",35,8,8,16,5,6,0,0,76,8,4,50,"16",76,"14:35","0:00","2:36","0"
"Preston Brennan","Jets","C",32,8,8,16,-4,6,3,0,68,7,2,87,"9",31,"17:37","1:24","2:03","55"
"Zachary Bolduc","Blue Jackets","RW",35,8,8,16,9,12,0,0,52,11,2,69,"12",8,"11:56","0:02","0:00","0"
"Carl Grundstrom","Oilers","LW/RW",33,7,9,16,-6,4,0,0,106,4,3,57,"12",6,"12:28","0:01","0:00","0"
"Jakub Vrana","Stars","RW/LW",32,7,9,16,3,16,0,0,27,11,1,60,"12",24,"12:18","0:00","0:10","0"
"Matthew Knies","Blues","LW",32,6,10,16,-7,4,6,0,80,5,2,52,"12",8,"13:36","1:07","0:00","0"
"Calen Addison","Penguins","RD",34,6,10,16,0,6,3,0,75,18,8,71,"8",76,"24:36","1:24","0:54","0"
"Gabriel Landeskog","Avalanche","LW/RW",33,6,10,16,-15,6,9,0,98,4,25,60,"10",22,"16:05","3:00","0:07","0"
"Noah Gregor","Sharks","LW/RW/C",34,6,10,16,6,12,0,1,58,7,5,43,"14",44,"14:56","0:01","1:56","0"
"Adrian Kempe","Predators","LW/RW",36,6,10,16,-8,32,6,0,100,8,3,56,"11",16,"15:39","1:49","0:02","0"
"Vladimir Hynek","Jets","C/LW/RW",32,5,11,16,-2,18,0,0,41,5,1,29,"17",17,"12:01","0:00","0:00","0"
"Scott Morrow","Sharks","RD",34,3,13,16,19,14,1,0,75,6,13,59,"5",36,"19:30","1:22","0:40","0"
"Nick Leddy","Islanders","LD",34,2,14,16,-9,12,7,0,79,18,31,95,"2",68,"26:32","3:12","1:26","0"
"Brandon Montour","Canadiens","RD",35,2,14,16,7,16,6,0,42,14,10,36,"6",54,"18:02","1:16","1:39","0"
"Ken Carnovale","Jets","LD",32,0,16,16,-3,4,4,0,56,12,15,65,"0",35,"17:50","1:07","0:31","0"
"Morgan Geekie","Panthers","C/LW",35,8,7,15,-7,6,0,0,85,12,3,35,"23",9,"11:29","0:00","0:00","0"
"Luc-Olivier Ferland","Blues","RW",32,8,7,15,-15,6,6,0,41,4,0,79,"10",21,"15:37","2:26","0:00","0"
"Seth Jarvis","Blues","C/RW",32,7,8,15,-12,4,5,0,35,7,2,47,"15",7,"13:18","0:57","0:00","86"
"Said Naydyonov","Maple Leafs","LW/RW",33,7,8,15,7,6,0,0,107,13,21,50,"14",42,"15:25","0:00","2:35","0"
"Nick Bjugstad","Sharks","C",34,6,9,15,0,14,0,1,73,3,10,47,"13",101,"15:31","0:01","2:38","46"
"Nazem Kadri","Flames","C",30,6,9,15,2,37,4,1,37,2,8,37,"16",26,"15:03","0:49","1:19","46"
"Alex Tuch","Maple Leafs","RW/C",33,5,10,15,4,10,0,0,82,2,19,41,"12",18,"12:18","0:01","0:00","0"
"Hugo Quessandier","Senators","C",33,5,10,15,2,10,1,0,49,3,6,60,"8",25,"14:25","1:27","0:02","42"
"Bogdan Okulov","Rangers","LW/RW",34,5,10,15,-12,16,1,0,70,11,1,57,"9",16,"15:38","2:33","0:03","0"
"Markku Qvist","Blues","RW/C/LW",32,5,10,15,0,21,0,0,45,10,11,36,"14",70,"14:44","0:00","2:30","0"
"Stanislav Malinak","Canucks","C",33,5,10,15,-2,23,0,0,62,5,20,43,"12",49,"14:32","0:03","2:29","51"
"Cam Fowler","Wild","LD/RD",35,3,12,15,-6,10,2,0,85,21,39,76,"4",75,"26:03","1:32","1:22","0"
"Konsta Helenius","Capitals","C",34,3,12,15,-10,24,5,0,28,7,5,42,"7",22,"13:42","1:38","0:00","33"
"Zdeno Tomas","Flames","RW",32,1,14,15,0,12,1,0,71,8,13,51,"2",15,"13:35","0:30","0:00","0"
"Jamie Drysdale","Lightning","RD",35,0,15,15,-15,18,2,0,28,15,2,26,"0",51,"15:41","0:46","0:22","0"
"Tyson Foerster","Sharks","RW",34,9,5,14,5,12,0,0,52,3,1,41,"22",13,"12:20","0:07","0:00","0"
"Clement Treille","Bruins","LW",33,7,7,14,-3,4,0,0,87,8,1,41,"17",15,"11:31","0:00","0:00","0"
"Alexander Zhuk","Flyers","C",34,7,7,14,-6,22,0,0,46,1,5,44,"16",21,"13:52","0:14","0:00","42"
"Adam Florian","Oilers","C/LW",33,7,7,14,-7,24,0,0,42,5,1,46,"15",18,"12:51","0:03","0:00","40"
"Filip Zadina","Wild","RW/LW",35,6,8,14,-13,20,3,0,75,8,1,47,"13",15,"14:39","1:37","0:00","0"
"Terry Bruneteau","Penguins","LW/RW",31,6,8,14,-2,21,5,0,65,11,5,78,"8",64,"16:00","1:15","2:13","0"
"Sam Dumont","Predators","RW",36,5,9,14,-6,8,0,0,63,12,10,35,"14",69,"14:51","0:00","2:28","0"
"Matias Maccelli","Senators","LW",33,5,9,14,-9,8,5,0,32,7,2,55,"9",10,"13:52","1:24","0:01","100"
"Ryan McLeod","Panthers","C",35,5,9,14,-6,14,2,0,84,6,9,47,"11",86,"17:26","1:25","2:43","43"
"Elias Lindholm","Capitals","C/RW",34,5,9,14,-2,16,0,0,70,10,24,46,"11",91,"16:24","0:00","3:02","48"
"Troy Terry","Ducks","RW",35,5,9,14,2,36,0,0,44,5,4,49,"10",14,"11:21","0:03","0:03","0"
"Quinton Byfield","Devils","C",33,5,9,14,1,47,0,0,100,5,9,49,"10",40,"12:19","0:00","0:00","52"
"Pavel Mintyukov","Ducks","LD",35,4,10,14,-3,2,5,0,30,7,26,52,"8",38,"14:46","1:37","0:09","0"
"John-Jason Peterka","Ducks","RW/LW",35,4,10,14,-11,4,8,0,66,13,6,84,"5",38,"17:24","3:08","1:35","0"
"Mark Stone","Senators","RW",33,4,10,14,-5,6,0,0,82,3,29,60,"7",54,"15:50","0:29","2:02","13"
"Pavel Pospisil","Kings","LW/RW/C",35,4,10,14,-1,10,0,0,42,6,2,29,"14",11,"12:00","0:00","0:00","0"
"Ryan O'Reilly","Rangers","C",34,4,10,14,-5,10,0,0,68,8,25,37,"11",56,"16:03","0:06","2:52","51"
"Brendan Gallagher","Canadiens","RW",35,4,10,14,-4,21,1,0,72,8,13,51,"8",81,"17:18","1:26","2:01","17"
"Darren Raddysh","Panthers","RD",35,2,12,14,-2,2,4,0,23,10,8,45,"4",40,"18:08","1:24","0:27","0"
"Ryan Suter","Red Wings","LD",34,2,12,14,0,4,1,1,42,17,30,29,"7",78,"17:08","0:05","3:36","0"
"Brady Skjei","Hurricanes","LD/RD",33,2,12,14,7,12,0,0,81,12,33,44,"5",71,"20:11","0:25","2:37","0"
"Shayne Gostisbehere","Blues","LD/RD",32,2,12,14,-18,14,12,0,37,9,10,90,"2",44,"18:32","2:38","0:27","0"
"Brad Marchand","Blue Jackets","LW/RW",35,2,12,14,1,38,0,0,41,6,13,33,"6",11,"11:22","0:03","0:00","0"
"William Eklund","Coyotes","LW",35,1,13,14,2,14,4,0,49,2,3,44,"2",7,"13:11","1:31","0:00","0"
"Jonas Brodin","Devils","LD/RD",33,0,14,14,8,4,0,0,55,23,14,45,"0",67,"17:02","0:00","2:20","0"
"Victor Hedman","Oilers","LD",33,0,14,14,1,6,0,0,80,11,43,102,"0",91,"25:42","1:31","2:06","0"
"Frank Vatrano","Ducks","LW/RW",29,7,6,13,1,14,0,0,50,5,3,52,"13",8,"11:50","0:00","0:00","0"
"Shane Wright","Panthers","C",35,6,7,13,-4,4,3,0,47,7,9,53,"11",49,"16:34","1:34","1:56","54"
"Ilya Mikheyev","Senators","RW",33,6,7,13,-3,14,2,0,61,16,19,52,"12",57,"14:25","0:27","1:28","0"
"Alexander Radulov","Kings","RW",35,6,7,13,-7,39,5,0,64,12,5,47,"13",21,"13:41","1:51","0:00","0"
"Samu Linkomaa","Canadiens","LW/RW",35,5,8,13,2,8,0,0,55,16,36,51,"10",40,"13:42","0:00","1:42","0"
"Rodger Labelle","Senators","C",33,5,8,13,-13,8,7,0,35,6,5,75,"7",21,"15:55","2:59","0:00","44"
"Cayden Lindstrom","Rangers","C",34,5,8,13,-10,14,1,0,66,3,2,76,"7",21,"14:38","1:38","0:01","41"
"Roger McQueen","Panthers","C",35,5,8,13,-3,16,2,0,42,7,5,50,"10",11,"12:13","0:22","0:00","0"
"Bryan Rust","Canadiens","RW/LW",35,4,9,13,-3,2,0,0,46,9,11,34,"12",14,"11:54","0:02","0:00","0"
"Ty Smith","Hurricanes","LD",33,4,9,13,-3,8,7,0,34,10,7,68,"6",32,"16:12","1:15","0:23","0"
"Yegor Sokolov","Bruins","LW/RW",33,4,9,13,-1,10,0,0,78,3,1,43,"9",7,"11:43","0:00","0:00","0"
"Michael Matheson","Blue Jackets","LD",35,3,10,13,4,6,0,0,30,11,17,53,"6",38,"12:53","0:00","0:06","0"
"Michael Stone","Panthers","RD/LD",35,3,10,13,-6,10,0,0,109,12,17,58,"5",65,"22:18","0:19","0:46","0"
"Frederick Williams","Sabres","C",35,3,10,13,-1,12,1,0,58,6,3,41,"7",36,"14:14","0:33","1:09","49"
"Jakob Chychrun","Coyotes","LD/RD",35,3,10,13,13,14,5,0,112,27,28,69,"4",78,"25:29","1:28","2:19","0"
"Travis Sanheim","Flyers","LD",34,2,11,13,-3,6,8,0,78,9,13,72,"3",30,"19:35","1:30","0:24","0"
"Rasmus Sandin","Canucks","LD",33,1,12,13,11,4,0,0,67,17,36,57,"2",67,"22:51","0:03","1:40","0"
"Mikhail Sergachev","Rangers","LD/RD",34,1,12,13,-7,30,2,0,97,13,1,61,"2",43,"18:17","1:22","2:01","0"
"Jacob Trouba","Ducks","RD/LD",35,0,13,13,1,4,3,0,65,15,32,41,"0",83,"19:09","0:34","2:54","0"
"Viktor Mikulchik","Devils","LW/RW",33,8,4,12,-1,6,0,0,76,5,1,34,"24",7,"11:25","0:00","0:00","0"
"Kevin Stenlund","Blue Jackets","C",35,7,5,12,4,8,0,0,53,6,3,38,"18",24,"11:23","0:02","0:00","49"
"Nikolai Dashkevich","Maple Leafs","RW/LW",33,7,5,12,-6,10,0,0,48,3,6,54,"13",11,"11:36","0:08","0:00","0"
"Jean-Gabriel Pageau","Senators","C/RW",33,7,5,12,-3,34,1,0,45,7,13,40,"18",46,"14:22","0:32","1:20","54"
"Michael Misa","Avalanche","C/LW",33,6,6,12,-8,8,1,0,21,3,1,45,"13",23,"14:20","1:29","0:00","26"
"Devante Smith-Pelly","Predators","RW",36,5,7,12,-6,23,0,0,69,10,7,40,"13",14,"11:06","0:00","0:00","0"
"Ondrej Kase","Oilers","RW/LW",33,4,8,12,3,6,0,0,21,4,0,25,"16",11,"11:16","0:00","0:00","0"
"Geoff Boyd","Sabres","LW/RW",35,4,8,12,-8,6,2,0,65,7,2,57,"7",16,"13:25","1:24","0:00","0"
"Deven Mason","Red Wings","C/LW",34,4,8,12,0,16,0,0,52,3,2,41,"10",12,"10:49","0:00","0:00","0"
"Vincent Trocheck","Predators","C/RW",36,4,8,12,-4,30,2,0,56,5,19,55,"7",58,"15:51","1:24","1:20","55"
"Marcus Pettersson","Avalanche","LD/RD",33,3,9,12,13,10,0,0,51,14,26,37,"8",59,"17:44","0:02","1:43","0"
"Leo Carlsson","Blues","C",32,3,9,12,-13,16,3,0,80,4,20,44,"7",47,"15:03","1:07","0:03","55"
"Ryan Dzingel","Hurricanes","C/LW",33,3,9,12,-9,26,0,0,32,3,9,35,"9",21,"11:02","0:00","0:00","54"
"Frank Nazar III","Predators","C",36,2,10,12,-14,4,4,0,45,10,2,59,"3",16,"13:51","1:48","0:01","36"
"Marcus Davidsson","Stars","C/LW/RW",21,2,10,12,9,6,0,1,29,5,1,11,"18",5,"11:00","0:00","0:04","0"
"Gustav Forsling","Coyotes","LD",35,2,10,12,11,8,0,0,44,18,7,49,"4",59,"16:25","0:00","1:55","0"
"Ryan McDonagh","Panthers","LD/RD",35,2,10,12,-15,18,5,0,106,28,41,100,"2",116,"26:48","2:56","2:30","0"
"David Jiricek","Islanders","RD",34,1,11,12,-7,4,6,0,63,18,13,74,"1",61,"19:50","2:26","0:48","0"
"Sergei Zykov","Blackhawks","LD/RD",35,1,11,12,20,12,0,0,37,6,9,47,"2",28,"14:36","0:00","0:17","0"
"Jacob Larsson","Capitals","LD/RD",34,1,11,12,-1,14,6,0,62,13,35,99,"1",35,"17:51","3:06","0:19","0"
"Tyson Barrie","Blues","RD",32,1,11,12,-11,20,1,0,56,15,21,59,"2",85,"25:01","0:07","2:12","0"
"Nicklas Jensen","Hurricanes","RW/LW",33,7,4,11,-9,10,0,0,53,10,2,38,"18",17,"11:37","0:02","0:00","0"
"Jonatan Berggren","Avalanche","RW",33,6,5,11,-13,4,4,0,35,14,0,58,"10",26,"15:01","1:34","0:01","0"
"Patrice Bergeron","Canadiens","C",35,6,5,11,4,12,0,0,47,4,23,38,"16",75,"14:22","0:00","2:03","59"
"Denis Guryanov","Stars","RW/LW",32,6,5,11,4,12,0,0,63,14,0,42,"14",12,"12:26","0:01","0:00","0"
"Radek Faksa","Blackhawks","C/LW",35,6,5,11,-4,22,0,0,64,4,9,34,"18",25,"12:32","0:00","0:00","49"
"Petri Loof","Blackhawks","RW",35,5,6,11,-3,6,0,0,39,6,2,39,"13",15,"12:29","0:00","0:00","0"
"Sam Steel","Penguins","C",34,5,6,11,-5,12,0,0,34,2,5,31,"16",15,"11:27","0:00","0:00","0"
"Pius Suter","Predators","C/LW",36,5,6,11,-5,16,0,0,18,2,0,32,"16",17,"11:05","0:00","0:00","50"
"Zemgus Girgensons","Sabres","C/LW",35,5,6,11,-2,22,1,0,49,17,17,49,"10",50,"14:16","0:00","2:03","51"
"Kailer Yamamoto","Islanders","RW",34,4,7,11,-12,10,0,0,38,5,1,41,"10",7,"12:19","0:00","0:00","0"
